,Date,Open,High,Low,Close,Adj Close,Volume
0,345402000.0,0.13,0.13,0.13,0.13,0.1,469033600.0
1,345661200.0,0.12,0.12,0.12,0.12,0.09,175884800.0
2,345747600.0,0.11,0.11,0.11,0.11,0.09,105728000.0
3,345834000.0,0.12,0.12,0.12,0.12,0.09,86441600.0
4,345920400.0,0.12,0.12,0.12,0.12,0.09,73449600.0
5,346006800.0,0.13,0.13,0.13,0.13,0.1,48630400.0
6,346266000.0,0.13,0.13,0.13,0.13,0.1,37363200.0
7,346352400.0,0.14,0.14,0.14,0.14,0.11,46950400.0
8,346438800.0,0.15,0.15,0.15,0.15,0.11,48003200.0
9,346611600.0,0.16,0.16,0.16,0.16,0.12,55574400.0
10,346870800.0,0.16,0.16,0.16,0.16,0.12,93161600.0
11,346957200.0,0.16,0.16,0.16,0.16,0.12,68880000.0
12,347043600.0,0.15,0.15,0.15,0.15,0.12,35750400.0
13,347216400.0,0.15,0.16,0.15,0.15,0.12,21660800.0
14,347475600.0,0.15,0.15,0.15,0.15,0.12,35728000.0
15,347562000.0,0.14,0.14,0.14,0.14,0.11,45158400.0
16,347648400.0,0.14,0.14,0.14,0.14,0.11,55686400.0
17,347734800.0,0.14,0.14,0.14,0.14,0.1,39827200.0
18,347821200.0,0.14,0.14,0.14,0.14,0.11,21504000.0
19,348080400.0,0.14,0.14,0.14,0.14,0.11,23699200.0
20,348166800.0,0.14,0.14,0.14,0.14,0.11,23049600.0
21,348253200.0,0.14,0.14,0.14,0.14,0.11,14291200.0
22,348339600.0,0.14,0.14,0.14,0.14,0.11,14067200.0
23,348426000.0,0.14,0.14,0.14,0.14,0.11,13395200.0
24,348685200.0,0.15,0.15,0.15,0.15,0.11,41574400.0
25,348771600.0,0.14,0.14,0.14,0.14,0.11,30083200.0
26,348858000.0,0.15,0.15,0.15,0.15,0.11,15904000.0
27,348944400.0,0.15,0.15,0.15,0.15,0.11,35548800.0
28,349030800.0,0.15,0.15,0.15,0.15,0.11,11222400.0
29,349290000.0,0.14,0.14,0.14,0.14,0.11,24640000.0
30,349376400.0,0.14,0.14,0.14,0.14,0.11,23699200.0
31,349462800.0,0.14,0.14,0.14,0.14,0.11,28156800.0
32,349549200.0,0.13,0.13,0.13,0.13,0.1,43904000.0
33,349635600.0,0.13,0.13,0.13,0.13,0.1,46188800.0
34,349894800.0,0.12,0.12,0.12,0.12,0.09,23766400.0
35,349981200.0,0.12,0.12,0.12,0.12,0.1,19152000.0
36,350067600.0,0.13,0.13,0.13,0.13,0.1,27865600.0
37,350154000.0,0.13,0.13,0.13,0.13,0.1,7929600.0
38,350240400.0,0.13,0.13,0.13,0.13,0.1,13865600.0
39,350499600.0,0.12,0.12,0.12,0.12,0.09,16755200.0
40,350586000.0,0.12,0.12,0.12,0.12,0.09,18345600.0
41,350672400.0,0.12,0.12,0.12,0.12,0.09,13843200.0
42,350758800.0,0.12,0.12,0.12,0.12,0.09,14560000.0
43,350845200.0,0.11,0.11,0.11,0.11,0.09,11155200.0
44,351190800.0,0.12,0.12,0.12,0.12,0.09,12275200.0
45,351277200.0,0.12,0.12,0.12,0.12,0.09,19241600.0
46,351363600.0,0.11,0.11,0.11,0.11,0.09,22310400.0
47,351450000.0,0.11,0.11,0.11,0.11,0.08,24371200.0
48,351709200.0,0.11,0.11,0.11,0.11,0.08,14112000.0
49,351795600.0,0.11,0.11,0.11,0.11,0.08,16979200.0
50,351882000.0,0.11,0.11,0.11,0.11,0.09,19488000.0
51,351968400.0,0.11,0.11,0.11,0.11,0.09,10841600.0
52,352054800.0,0.12,0.12,0.12,0.12,0.09,14761600.0
53,352314000.0,0.12,0.12,0.12,0.12,0.09,11760000.0
54,352400400.0,0.12,0.12,0.12,0.12,0.09,16172800.0
55,352486800.0,0.12,0.12,0.12,0.12,0.09,13708800.0
56,352573200.0,0.12,0.12,0.12,0.12,0.09,5376000.0
57,352659600.0,0.12,0.12,0.11,0.11,0.09,11603200.0
58,352918800.0,0.11,0.11,0.11,0.11,0.08,15321600.0
59,353005200.0,0.1,0.1,0.1,0.1,0.08,28380800.0
60,353091600.0,0.1,0.1,0.1,0.1,0.07,29859200.0
61,353178000.0,0.1,0.1,0.1,0.1,0.08,59248000.0
62,353264400.0,0.1,0.1,0.1,0.1,0.08,231302400.0
63,353523600.0,0.1,0.1,0.1,0.1,0.08,37228800.0
64,353610000.0,0.11,0.11,0.11,0.11,0.08,43747200.0
65,353696400.0,0.11,0.12,0.11,0.11,0.09,36937600.0
66,353782800.0,0.11,0.11,0.11,0.11,0.09,37811200.0
67,353869200.0,0.11,0.12,0.11,0.11,0.09,14604800.0
