,Date,Close,Volume,Open,High,Low
0,1722790800,395.15,40709240,389.17,401.04,385.58
1,1722531600,408.49,29437900,412.49,415.0,404.34
2,1722445200,417.11,30296400,420.785,427.46,413.0901
3,1722358800,418.35,42891370,420.495,421.775,412.21
4,1722272400,422.92,32687580,427.72,429.05,417.36
5,1722186000,426.73,15125840,431.58,432.15,424.7042
6,1721926800,425.27,23583840,418.2,428.915,417.27
7,1721840400,418.4,29943800,428.8,429.8,417.51
8,1721754000,428.9,26805800,440.45,441.48,427.585
9,1721667600,444.85,13107050,443.895,448.39,443.1
10,1721581200,442.94,15808760,441.79,444.6,438.9125
11,1721322000,437.11,20940420,433.1,441.14,432.0
12,1721235600,440.37,20794820,444.34,444.65,434.4
13,1721149200,443.52,21754020,442.59,444.85,439.18
14,1721062800,449.52,17175680,454.22,454.3,446.66
15,1720976400,453.96,14429450,453.3,457.26,451.43
16,1720717200,453.55,16324270,454.325,456.36,450.645
17,1720630800,454.7,23111180,462.98,464.78,451.55
18,1720544400,466.25,18196100,461.22,466.46,458.855
19,1720458000,459.54,17228510,467.0,467.33,458.0
20,1720371600,466.24,12962320,466.55,467.7,464.46
21,1720112400,467.56,16000290,459.61,468.35,458.965
22,1719939600,460.77,9932830,458.19,461.02,457.88
23,1719853200,459.28,13979780,453.2,459.59,453.113
24,1719766800,456.73,17662820,448.66,457.37,445.66
25,1719507600,446.95,28362270,453.07,455.38,446.41
26,1719421200,452.85,14806320,452.175,456.17,451.77
27,1719334800,452.16,16507030,449.0,453.6,448.19
28,1719248400,450.95,16747530,448.25,451.42,446.75
29,1719162000,447.67,15913720,449.8,452.75,446.41
30,1718902800,449.78,34486170,447.38,450.58,446.51
31,1718816400,445.7,19877380,446.3,446.53,441.27
32,1718643600,446.34,17112500,449.705,450.14,444.89
33,1718557200,448.37,20790030,442.585,450.94,440.72
34,1718298000,442.57,13581990,438.275,443.1376,436.721
35,1718211600,441.58,15960570,440.85,443.39,439.37
36,1718125200,441.06,22366230,435.32,443.4,433.25
37,1718038800,432.68,14551100,425.475,432.82,425.25
38,1717952400,427.87,14003030,424.7,428.08,423.89
39,1717693200,423.85,13621650,426.2,426.28,423.0
40,1717606800,424.52,14861250,424.01,425.31,420.58
41,1717520400,424.01,16988040,417.81,424.08,416.3
42,1717434000,416.07,14348920,412.43,416.44,409.675
43,1717347600,413.52,17484680,415.525,416.43,408.9234
44,1717088400,415.13,47995250,416.75,416.75,404.51
45,1717002000,414.67,28424850,424.3,424.3,414.24
46,1716915600,429.17,15517130,425.69,430.94,425.69
47,1716829200,430.32,15718020,429.63,430.82,426.6
48,1716483600,430.16,11855290,427.19,431.055,424.41
49,1716397200,427.0,17211690,432.97,433.6,425.424
50,1716310800,430.52,18073700,430.09,432.41,427.13
51,1716224400,429.04,21453260,426.825,432.97,424.85
52,1716138000,425.34,16272140,420.21,426.77,419.99
53,1715878800,420.21,15352240,422.54,422.92,418.025
54,1715792400,420.99,17530050,421.8,425.42,420.35
55,1715706000,423.08,22239530,417.9,423.81,417.27
